id,name,slugged_name,status,brand,category_id,category_name,retail_price,old_price,discount_start_date,discount_end_date,installment_enabled,max_installment_months,seller_ext_id,seller_name,seller_rating,seller_vat_payer,seller_role,rating_value,rating_count,assessment_id,image_big,image_medium,image_small,avail_check,preorder_available,min_qty,qty,show_stock_qty_threshold,offer_uuid,product_labels,offer_labels
817377,Kitab ReadENG Qısa hekayələrlə ingilis dili. Bohemiyada Qalmaqal,kitab-readeng-qisa-hekayelerle-ingilis-dili-bohemiyada-qalmaqal,active,ReadENG,1469,Dil öyrənməsi,8.5,0,,,False,0,617fa0fc-4f23-43c6-8c97-73292c6ce306,OFFICEMART,93,True,3P,0,0,0,https://strgimgr.umico.az/sized/1680/817377-c783655ba3346c1e8aa5085c29c49a49.jpg,https://strgimgr.umico.az/sized/840/817377-c783655ba3346c1e8aa5085c29c49a49.jpg,https://strgimgr.umico.az/sized/280/817377-c783655ba3346c1e8aa5085c29c49a49.jpg,False,False,1,0,0,205197b9-f765-427c-b7a9-41e0ab6af240,,
1363761,Kitab Cambridge IGCSE Biology Coursebook and Workbook,cambridge-igcse-biology-coursebook-and-workbook,active,No Brand,1470,İmtahanlara hazırlıq,50,0,,,True,3,160de7b7-0d24-424c-9dbb-b5698029b4ef,Kitabevim.az,97,False,3P,0,0,0,https://strgimgr.umico.az/img/product/1680/357f07ce-1c51-44c9-854c-694552fd0468.jpeg,https://strgimgr.umico.az/img/product/840/357f07ce-1c51-44c9-854c-694552fd0468.jpeg,https://strgimgr.umico.az/img/product/280/357f07ce-1c51-44c9-854c-694552fd0468.jpeg,False,False,1,0,0,d3174d02-9eea-4439-aa80-aa8bfd239937,,
921933,Kitab Самовар Сказка за сказкой,kitab-samovar-skazka-za-skazkoy,active,Самовар,1566,Nağıllar və hekayələr (4-8 yaş),8,0,,,False,0,617fa0fc-4f23-43c6-8c97-73292c6ce306,OFFICEMART,93,True,3P,0,0,0,https://strgimgr.umico.az/sized/1680/921933-1179d25de80213e48b074de516bb14c4.jpg,https://strgimgr.umico.az/sized/840/921933-1179d25de80213e48b074de516bb14c4.jpg,https://strgimgr.umico.az/sized/280/921933-1179d25de80213e48b074de516bb14c4.jpg,False,False,1,0,0,8f71f43c-f06e-4ac0-84c8-fcf74457c7ff,,
86752,Kitab Riki - Xido Van Xeynektn,kitab-riki-xido-van-xeynektn,active,3 Alma,1566,Nağıllar və hekayələr (4-8 yaş),9.8,0,,,False,0,617fa0fc-4f23-43c6-8c97-73292c6ce306,OFFICEMART,93,True,3P,0,0,0,https://strgimgr.umico.az/sized/1680/86752-0ef444aa4ffec71fd03b635774c81f69.jpg,https://strgimgr.umico.az/sized/840/86752-0ef444aa4ffec71fd03b635774c81f69.jpg,https://strgimgr.umico.az/sized/280/86752-0ef444aa4ffec71fd03b635774c81f69.jpg,False,False,1,0,0,99e13215-9977-4a30-a0d7-06ecc6417c1d,,
124914,"Kitab Dasha learns to fall asleep, müəllif Брагинец Наталья",kitab-dasha-learns-to-fall-asleep-muellif-braginets-natalya,active,Проф-Пресс,1566,Nağıllar və hekayələr (4-8 yaş),20,0,,,True,3,5bc6ff96-8e07-45c9-afb4-f4121fea4d05,Detskaya Skazka,93,False,3P,0,0,0,https://strgimgr.umico.az/sized/1680/124914-2e8ffb5bec0af9ec6dbb2e6f2939e178.jpg,https://strgimgr.umico.az/sized/840/124914-2e8ffb5bec0af9ec6dbb2e6f2939e178.jpg,https://strgimgr.umico.az/sized/280/124914-2e8ffb5bec0af9ec6dbb2e6f2939e178.jpg,False,False,1,0,0,3ec844ea-402f-4fd9-af60-667b1fa20e63,,
921916,"Kitab Самовар Уронили мишку на пол, müəllif Агния Барто",kitab-samovar-uronili-mishku-na-pol-muellif-agniya-barto,active,Самовар,1566,Nağıllar və hekayələr (4-8 yaş),6.94,0,,,True,18,160de7b7-0d24-424c-9dbb-b5698029b4ef,Kitabevim.az,97,False,3P,0,0,0,https://strgimgr.umico.az/sized/1680/921916-c87b28e94d8be83ca5e4f0aadeeac136.jpg,https://strgimgr.umico.az/sized/840/921916-c87b28e94d8be83ca5e4f0aadeeac136.jpg,https://strgimgr.umico.az/sized/280/921916-c87b28e94d8be83ca5e4f0aadeeac136.jpg,False,False,1,0,0,20b1a966-9e15-466c-b296-c83a06ae0c18,,
705123,"Kitab İdrak işığı, müəllif Muxtar Cəfərli",kitab-idrak-ishigi-muellif-muxtar-ceferli,active,Füyuzat,1472,Azərbaycan ədəbiyyatı,6.42,6.9,,,True,18,bb2fdf5f-d8d8-4ee8-b4e1-79fca366fbe1,Parabuzen shop,97,False,3P,0,0,0,https://strgimgr.umico.az/sized/1680/705123-2306d6e31154d374a0486fc3a0ca930b.jpg,https://strgimgr.umico.az/sized/840/705123-2306d6e31154d374a0486fc3a0ca930b.jpg,https://strgimgr.umico.az/sized/280/705123-2306d6e31154d374a0486fc3a0ca930b.jpg,False,False,1,0,0,779dbf9b-f1b4-480d-875b-72a46b18584c,,
1225809,"Kitab Əli və Nino Nəşriyyatı və Qanun Nəşriyyatı Qanlı sənələr, müəllif Məmməd Səid Ordubadi",kitab-eli-ve-nino-neshriyyati-ve-qanun-neshriyyati-qanli-seneler-muellif-memmed-seid-ordubadi,active,Əli və Nino Nəşriyyatı və Qanun Nəşriyyatı,1472,Azərbaycan ədəbiyyatı,5.99,0,,,False,0,617fa0fc-4f23-43c6-8c97-73292c6ce306,OFFICEMART,93,True,3P,0,0,0,https://strgimgr.umico.az/img/product/1680/ed5a6d11-1e7b-4af4-8b73-f65b97504961.jpeg,https://strgimgr.umico.az/img/product/840/ed5a6d11-1e7b-4af4-8b73-f65b97504961.jpeg,https://strgimgr.umico.az/img/product/280/ed5a6d11-1e7b-4af4-8b73-f65b97504961.jpeg,False,False,1,0,0,5c614c4a-7c9d-4d92-819a-0edb75158c51,,
82481,"Kitab Çiçəkli xalça, müəllif Qəşəm Nəcəfzadə",kitab-chichekli-xalcha-muellif-qeshem-necefzade,active,3 Alma,1472,Azərbaycan ədəbiyyatı,5.6,0,,,False,0,617fa0fc-4f23-43c6-8c97-73292c6ce306,OFFICEMART,93,True,3P,0,0,0,https://strgimgr.umico.az/sized/1680/82481-d574e9d9910d47d3b44aa27f1c97254c.jpg,https://strgimgr.umico.az/sized/840/82481-d574e9d9910d47d3b44aa27f1c97254c.jpg,https://strgimgr.umico.az/sized/280/82481-d574e9d9910d47d3b44aa27f1c97254c.jpg,False,False,1,0,0,4bfddc94-ef98-405e-95f2-1c9640b79122,,
812496,"Kitab Qanun Nəşriyyatı Dumanlı Təbriz, müəllif Məmməd Səid Ordubadi",kitab-qanun-neshriyyati-dumanli-tebriz-muellif-memmed-seid-ordubadi,active,Qanun Nəşriyyatı,1472,Azərbaycan ədəbiyyatı,19.91,0,,,True,18,160de7b7-0d24-424c-9dbb-b5698029b4ef,Kitabevim.az,97,False,3P,0,0,0,https://strgimgr.umico.az/sized/1680/812496-0e99ac62f95b80bebf8afca0ec8e1b0d.jpg,https://strgimgr.umico.az/sized/840/812496-0e99ac62f95b80bebf8afca0ec8e1b0d.jpg,https://strgimgr.umico.az/sized/280/812496-0e99ac62f95b80bebf8afca0ec8e1b0d.jpg,False,False,1,0,0,2410f519-fa64-45fa-bee2-c3f60295b2e0,,
